event_id,name,branch,date,attendance,feedback_score
EVT0000,Computer Skills Workshop,Plaistow,2025-03-07,"{'registered': 18, 'actual': 27, 'age_breakdown': {'0-5': 9, '6-12': 4, '13-17': 3, '18+': 16}}",4.0
EVT0001,Computer Skills Workshop,Custom House,2025-01-09,"{'registered': 13, 'actual': 31, 'age_breakdown': {'0-5': 10, '6-12': 0, '13-17': 4, '18+': 16}}",4.0
EVT0002,Computer Skills Workshop,Custom House,2024-12-20,"{'registered': 24, 'actual': 16, 'age_breakdown': {'0-5': 0, '6-12': 10, '13-17': 5, '18+': 7}}",3.7
EVT0003,Children's Story Hour,North Woolwich,2025-01-22,"{'registered': 43, 'actual': 43, 'age_breakdown': {'0-5': 2, '6-12': 15, '13-17': 3, '18+': 18}}",3.2
EVT0004,Author Talk,Custom House,2025-06-19,"{'registered': 38, 'actual': 32, 'age_breakdown': {'0-5': 4, '6-12': 0, '13-17': 5, '18+': 6}}",4.5
EVT0005,Computer Skills Workshop,Plaistow,2025-03-08,"{'registered': 13, 'actual': 35, 'age_breakdown': {'0-5': 8, '6-12': 14, '13-17': 7, '18+': 10}}",3.3
EVT0006,Children's Story Hour,Custom House,2025-01-12,"{'registered': 11, 'actual': 20, 'age_breakdown': {'0-5': 8, '6-12': 8, '13-17': 2, '18+': 5}}",4.7
EVT0007,Homework Help Session,Beckton,2024-10-25,"{'registered': 18, 'actual': 34, 'age_breakdown': {'0-5': 3, '6-12': 5, '13-17': 0, '18+': 5}}",4.3
EVT0008,Computer Skills Workshop,Stratford,2025-08-17,"{'registered': 16, 'actual': 9, 'age_breakdown': {'0-5': 7, '6-12': 11, '13-17': 10, '18+': 15}}",3.2
EVT0009,Computer Skills Workshop,Stratford,2025-09-17,"{'registered': 37, 'actual': 15, 'age_breakdown': {'0-5': 0, '6-12': 9, '13-17': 2, '18+': 19}}",3.7
EVT0010,Author Talk,Manor Park,2025-06-30,"{'registered': 45, 'actual': 30, 'age_breakdown': {'0-5': 9, '6-12': 7, '13-17': 0, '18+': 11}}",3.2
EVT0011,Computer Skills Workshop,Custom House,2025-03-15,"{'registered': 10, 'actual': 18, 'age_breakdown': {'0-5': 9, '6-12': 5, '13-17': 2, '18+': 0}}",4.5
EVT0012,Teen Gaming Night,Beckton,2025-03-06,"{'registered': 45, 'actual': 5, 'age_breakdown': {'0-5': 1, '6-12': 8, '13-17': 2, '18+': 12}}",4.7
EVT0013,Children's Story Hour,Plaistow,2025-07-12,"{'registered': 44, 'actual': 6, 'age_breakdown': {'0-5': 1, '6-12': 14, '13-17': 7, '18+': 0}}",4.6
EVT0014,Children's Story Hour,Plaistow,2025-02-08,"{'registered': 22, 'actual': 33, 'age_breakdown': {'0-5': 0, '6-12': 10, '13-17': 10, '18+': 0}}",3.6
EVT0015,Book Club Meeting,East Ham,2025-02-03,"{'registered': 21, 'actual': 31, 'age_breakdown': {'0-5': 7, '6-12': 5, '13-17': 4, '18+': 8}}",3.4
EVT0016,Children's Story Hour,Beckton,2025-04-01,"{'registered': 38, 'actual': 15, 'age_breakdown': {'0-5': 9, '6-12': 8, '13-17': 7, '18+': 13}}",4.8
EVT0018,Author Talk,Custom House,2025-06-11,"{'registered': 49, 'actual': 40, 'age_breakdown': {'0-5': 5, '6-12': 3, '13-17': 9, '18+': 7}}",3.4
EVT0019,Computer Skills Workshop,North Woolwich,2025-05-09,"{'registered': 20, 'actual': 36, 'age_breakdown': {'0-5': 2, '6-12': 2, '13-17': 2, '18+': 18}}",3.8
EVT0020,Author Talk,North Woolwich,2024-11-02,"{'registered': 13, 'actual': 24, 'age_breakdown': {'0-5': 9, '6-12': 13, '13-17': 0, '18+': 4}}",4.4
EVT0021,Computer Skills Workshop,Plaistow,2024-11-26,"{'registered': 31, 'actual': 15, 'age_breakdown': {'0-5': 7, '6-12': 5, '13-17': 8, '18+': 20}}",5.0
EVT0022,Teen Gaming Night,Plaistow,2025-09-01,"{'registered': 26, 'actual': 44, 'age_breakdown': {'0-5': 10, '6-12': 11, '13-17': 0, '18+': 14}}",4.0
EVT0023,Teen Gaming Night,Plaistow,2025-06-15,"{'registered': 29, 'actual': 5, 'age_breakdown': {'0-5': 6, '6-12': 15, '13-17': 5, '18+': 13}}",3.0
EVT0024,Children's Story Hour,Custom House,2024-11-10,"{'registered': 10, 'actual': 11, 'age_breakdown': {'0-5': 9, '6-12': 5, '13-17': 9, '18+': 1}}",4.5
EVT0025,Author Talk,Beckton,2025-03-03,"{'registered': 29, 'actual': 20, 'age_breakdown': {'0-5': 9, '6-12': 1, '13-17': 4, '18+': 8}}",4.8
EVT0026,Teen Gaming Night,East Ham,2025-08-12,"{'registered': 21, 'actual': 15, 'age_breakdown': {'0-5': 5, '6-12': 6, '13-17': 3, '18+': 6}}",4.9
EVT0027,Book Club Meeting,Manor Park,2025-07-17,"{'registered': 14, 'actual': 7, 'age_breakdown': {'0-5': 2, '6-12': 11, '13-17': 10, '18+': 10}}",4.9
EVT0028,Children's Story Hour,Custom House,2025-02-04,"{'registered': 24, 'actual': 26, 'age_breakdown': {'0-5': 4, '6-12': 10, '13-17': 10, '18+': 1}}",3.8
EVT0029,Teen Gaming Night,Beckton,2025-06-14,"{'registered': 45, 'actual': 40, 'age_breakdown': {'0-5': 4, '6-12': 6, '13-17': 9, '18+': 6}}",3.5
EVT0030,Book Club Meeting,Manor Park,2024-11-08,"{'registered': 25, 'actual': 30, 'age_breakdown': {'0-5': 2, '6-12': 13, '13-17': 2, '18+': 0}}",3.1
EVT0032,Teen Gaming Night,Stratford,2025-05-24,"{'registered': 38, 'actual': 26, 'age_breakdown': {'0-5': 9, '6-12': 12, '13-17': 5, '18+': 19}}",3.3
EVT0033,Children's Story Hour,Stratford,2025-03-18,"{'registered': 19, 'actual': 20, 'age_breakdown': {'0-5': 7, '6-12': 12, '13-17': 3, '18+': 2}}",3.6
EVT0034,Author Talk,Manor Park,2025-07-17,"{'registered': 20, 'actual': 9, 'age_breakdown': {'0-5': 0, '6-12': 12, '13-17': 2, '18+': 19}}",3.5
EVT0035,Children's Story Hour,Custom House,2025-06-07,"{'registered': 23, 'actual': 33, 'age_breakdown': {'0-5': 5, '6-12': 3, '13-17': 9, '18+': 4}}",3.9
EVT0036,Homework Help Session,East Ham,2025-02-24,"{'registered': 16, 'actual': 35, 'age_breakdown': {'0-5': 5, '6-12': 7, '13-17': 6, '18+': 4}}",4.7
EVT0037,Author Talk,Plaistow,2025-01-28,"{'registered': 30, 'actual': 14, 'age_breakdown': {'0-5': 10, '6-12': 12, '13-17': 4, '18+': 12}}",4.8
EVT0039,Teen Gaming Night,East Ham,2024-10-29,"{'registered': 44, 'actual': 22, 'age_breakdown': {'0-5': 5, '6-12': 4, '13-17': 4, '18+': 1}}",4.4
EVT0040,Children's Story Hour,Manor Park,2025-07-31,"{'registered': 24, 'actual': 26, 'age_breakdown': {'0-5': 5, '6-12': 0, '13-17': 5, '18+': 3}}",4.4
EVT0041,Book Club Meeting,Stratford,2024-12-24,"{'registered': 47, 'actual': 45, 'age_breakdown': {'0-5': 1, '6-12': 9, '13-17': 3, '18+': 1}}",3.9
EVT0042,Teen Gaming Night,Plaistow,2025-04-01,"{'registered': 50, 'actual': 13, 'age_breakdown': {'0-5': 4, '6-12': 14, '13-17': 9, '18+': 4}}",4.5
EVT0043,Book Club Meeting,East Ham,2024-10-25,"{'registered': 15, 'actual': 37, 'age_breakdown': {'0-5': 8, '6-12': 7, '13-17': 4, '18+': 20}}",3.6
EVT0044,Teen Gaming Night,Beckton,2025-05-27,"{'registered': 17, 'actual': 42, 'age_breakdown': {'0-5': 2, '6-12': 0, '13-17': 4, '18+': 17}}",3.1
EVT0045,Computer Skills Workshop,North Woolwich,2025-03-13,"{'registered': 34, 'actual': 41, 'age_breakdown': {'0-5': 3, '6-12': 6, '13-17': 3, '18+': 5}}",5.0
EVT0046,Computer Skills Workshop,Manor Park,2025-09-16,"{'registered': 16, 'actual': 27, 'age_breakdown': {'0-5': 9, '6-12': 1, '13-17': 2, '18+': 10}}",4.1
EVT0047,Author Talk,Plaistow,2024-10-25,"{'registered': 27, 'actual': 8, 'age_breakdown': {'0-5': 8, '6-12': 10, '13-17': 10, '18+': 16}}",3.7
EVT0048,Teen Gaming Night,Custom House,2024-10-16,"{'registered': 22, 'actual': 39, 'age_breakdown': {'0-5': 2, '6-12': 10, '13-17': 6, '18+': 15}}",4.6
EVT0049,Children's Story Hour,North Woolwich,2025-02-07,"{'registered': 42, 'actual': 22, 'age_breakdown': {'0-5': 6, '6-12': 15, '13-17': 2, '18+': 18}}",3.7
EVT0050,Book Club Meeting,Beckton,2025-07-24,"{'registered': 50, 'actual': 25, 'age_breakdown': {'0-5': 5, '6-12': 2, '13-17': 9, '18+': 12}}",3.3
EVT0051,Book Club Meeting,Beckton,2025-08-13,"{'registered': 32, 'actual': 5, 'age_breakdown': {'0-5': 1, '6-12': 5, '13-17': 5, '18+': 20}}",4.5
EVT0052,Author Talk,Plaistow,2025-01-07,"{'registered': 21, 'actual': 40, 'age_breakdown': {'0-5': 6, '6-12': 6, '13-17': 9, '18+': 8}}",4.3
EVT0053,Children's Story Hour,Beckton,2025-03-27,"{'registered': 20, 'actual': 15, 'age_breakdown': {'0-5': 3, '6-12': 8, '13-17': 1, '18+': 9}}",3.4
EVT0054,Children's Story Hour,Beckton,2024-12-20,"{'registered': 10, 'actual': 43, 'age_breakdown': {'0-5': 10, '6-12': 13, '13-17': 6, '18+': 5}}",3.9
EVT0055,Book Club Meeting,Plaistow,2025-07-15,"{'registered': 35, 'actual': 5, 'age_breakdown': {'0-5': 4, '6-12': 10, '13-17': 0, '18+': 18}}",3.4
EVT0057,Children's Story Hour,Custom House,2025-01-19,"{'registered': 24, 'actual': 20, 'age_breakdown': {'0-5': 5, '6-12': 6, '13-17': 8, '18+': 19}}",3.3
EVT0058,Computer Skills Workshop,Stratford,2025-02-09,"{'registered': 15, 'actual': 42, 'age_breakdown': {'0-5': 3, '6-12': 12, '13-17': 0, '18+': 1}}",3.0
EVT0059,Teen Gaming Night,East Ham,2025-10-10,"{'registered': 39, 'actual': 36, 'age_breakdown': {'0-5': 10, '6-12': 1, '13-17': 5, '18+': 12}}",3.2
EVT0060,Homework Help Session,North Woolwich,2025-03-07,"{'registered': 36, 'actual': 8, 'age_breakdown': {'0-5': 7, '6-12': 13, '13-17': 2, '18+': 12}}",4.4
EVT0061,Homework Help Session,Manor Park,2025-01-28,"{'registered': 10, 'actual': 5, 'age_breakdown': {'0-5': 9, '6-12': 10, '13-17': 3, '18+': 14}}",3.5
EVT0062,Children's Story Hour,Plaistow,2025-07-18,"{'registered': 37, 'actual': 14, 'age_breakdown': {'0-5': 3, '6-12': 3, '13-17': 3, '18+': 6}}",3.2
EVT0063,Homework Help Session,Beckton,2025-09-03,"{'registered': 49, 'actual': 21, 'age_breakdown': {'0-5': 4, '6-12': 2, '13-17': 6, '18+': 9}}",3.4
EVT0064,Children's Story Hour,Plaistow,2025-08-28,"{'registered': 32, 'actual': 22, 'age_breakdown': {'0-5': 4, '6-12': 3, '13-17': 3, '18+': 14}}",3.9
EVT0065,Computer Skills Workshop,Custom House,2024-11-13,"{'registered': 33, 'actual': 35, 'age_breakdown': {'0-5': 6, '6-12': 1, '13-17': 6, '18+': 6}}",4.2
EVT0066,Book Club Meeting,Custom House,2025-05-18,"{'registered': 12, 'actual': 22, 'age_breakdown': {'0-5': 6, '6-12': 2, '13-17': 7, '18+': 10}}",3.2
EVT0067,Teen Gaming Night,Plaistow,2025-09-11,"{'registered': 11, 'actual': 10, 'age_breakdown': {'0-5': 7, '6-12': 6, '13-17': 2, '18+': 9}}",3.1
EVT0069,Computer Skills Workshop,East Ham,2025-03-05,"{'registered': 24, 'actual': 22, 'age_breakdown': {'0-5': 5, '6-12': 13, '13-17': 5, '18+': 6}}",3.8
EVT0070,Author Talk,Plaistow,2025-01-07,"{'registered': 46, 'actual': 5, 'age_breakdown': {'0-5': 2, '6-12': 11, '13-17': 4, '18+': 17}}",3.5
EVT0071,Book Club Meeting,Plaistow,2025-08-24,"{'registered': 45, 'actual': 41, 'age_breakdown': {'0-5': 0, '6-12': 8, '13-17': 7, '18+': 5}}",3.9
EVT0072,Homework Help Session,Manor Park,2025-06-16,"{'registered': 14, 'actual': 5, 'age_breakdown': {'0-5': 0, '6-12': 10, '13-17': 3, '18+': 16}}",4.3
EVT0073,Author Talk,Plaistow,2025-04-08,"{'registered': 27, 'actual': 16, 'age_breakdown': {'0-5': 1, '6-12': 12, '13-17': 4, '18+': 7}}",4.2
EVT0074,Children's Story Hour,Beckton,2024-11-08,"{'registered': 12, 'actual': 42, 'age_breakdown': {'0-5': 3, '6-12': 15, '13-17': 8, '18+': 2}}",3.9
EVT0075,Author Talk,Plaistow,2024-11-24,"{'registered': 50, 'actual': 31, 'age_breakdown': {'0-5': 1, '6-12': 9, '13-17': 3, '18+': 14}}",4.8
EVT0076,Author Talk,Manor Park,2025-08-07,"{'registered': 23, 'actual': 34, 'age_breakdown': {'0-5': 0, '6-12': 12, '13-17': 6, '18+': 2}}",3.9
EVT0077,Homework Help Session,Beckton,2025-04-17,"{'registered': 32, 'actual': 31, 'age_breakdown': {'0-5': 4, '6-12': 13, '13-17': 7, '18+': 4}}",3.8
EVT0078,Book Club Meeting,Plaistow,2024-11-23,"{'registered': 45, 'actual': 9, 'age_breakdown': {'0-5': 5, '6-12': 9, '13-17': 1, '18+': 16}}",4.0
EVT0079,Teen Gaming Night,Custom House,2025-02-17,"{'registered': 12, 'actual': 8, 'age_breakdown': {'0-5': 2, '6-12': 14, '13-17': 7, '18+': 5}}",3.2
EVT0080,Teen Gaming Night,Manor Park,2025-06-30,"{'registered': 31, 'actual': 7, 'age_breakdown': {'0-5': 7, '6-12': 12, '13-17': 0, '18+': 9}}",3.7
EVT0081,Computer Skills Workshop,Stratford,2025-06-19,"{'registered': 31, 'actual': 7, 'age_breakdown': {'0-5': 3, '6-12': 7, '13-17': 7, '18+': 8}}",4.2
EVT0083,Computer Skills Workshop,Plaistow,2025-10-02,"{'registered': 17, 'actual': 40, 'age_breakdown': {'0-5': 2, '6-12': 5, '13-17': 2, '18+': 13}}",4.7
EVT0084,Teen Gaming Night,North Woolwich,2024-11-10,"{'registered': 27, 'actual': 10, 'age_breakdown': {'0-5': 9, '6-12': 0, '13-17': 8, '18+': 14}}",4.0
EVT0085,Author Talk,East Ham,2025-05-19,"{'registered': 42, 'actual': 26, 'age_breakdown': {'0-5': 10, '6-12': 1, '13-17': 6, '18+': 15}}",4.1
EVT0086,Book Club Meeting,Manor Park,2025-09-23,"{'registered': 20, 'actual': 37, 'age_breakdown': {'0-5': 9, '6-12': 15, '13-17': 6, '18+': 0}}",3.6
EVT0087,Homework Help Session,Manor Park,2025-07-19,"{'registered': 11, 'actual': 45, 'age_breakdown': {'0-5': 4, '6-12': 4, '13-17': 2, '18+': 3}}",3.1
EVT0089,Computer Skills Workshop,East Ham,2025-08-19,"{'registered': 21, 'actual': 8, 'age_breakdown': {'0-5': 1, '6-12': 12, '13-17': 2, '18+': 18}}",4.4
EVT0091,Teen Gaming Night,Beckton,2025-02-17,"{'registered': 44, 'actual': 15, 'age_breakdown': {'0-5': 7, '6-12': 3, '13-17': 8, '18+': 4}}",3.6
EVT0092,Book Club Meeting,Beckton,2025-04-30,"{'registered': 24, 'actual': 34, 'age_breakdown': {'0-5': 1, '6-12': 14, '13-17': 0, '18+': 17}}",4.7
EVT0093,Teen Gaming Night,Manor Park,2024-11-07,"{'registered': 20, 'actual': 30, 'age_breakdown': {'0-5': 9, '6-12': 9, '13-17': 2, '18+': 0}}",4.4
EVT0094,Teen Gaming Night,North Woolwich,2025-03-24,"{'registered': 25, 'actual': 10, 'age_breakdown': {'0-5': 10, '6-12': 7, '13-17': 5, '18+': 9}}",4.3
EVT0095,Homework Help Session,Stratford,2025-07-29,"{'registered': 17, 'actual': 23, 'age_breakdown': {'0-5': 5, '6-12': 13, '13-17': 7, '18+': 0}}",4.2
EVT0096,Children's Story Hour,Custom House,2025-04-06,"{'registered': 31, 'actual': 39, 'age_breakdown': {'0-5': 7, '6-12': 6, '13-17': 0, '18+': 11}}",4.2
EVT0097,Book Club Meeting,Manor Park,2025-09-17,"{'registered': 24, 'actual': 40, 'age_breakdown': {'0-5': 8, '6-12': 8, '13-17': 10, '18+': 7}}",4.4
EVT0098,Homework Help Session,North Woolwich,2024-11-13,"{'registered': 14, 'actual': 34, 'age_breakdown': {'0-5': 8, '6-12': 3, '13-17': 6, '18+': 15}}",4.9
EVT0099,Computer Skills Workshop,North Woolwich,2025-03-10,"{'registered': 34, 'actual': 22, 'age_breakdown': {'0-5': 10, '6-12': 7, '13-17': 10, '18+': 3}}",4.3
EVT0100,Teen Gaming Night,Beckton,2025-06-18,"{'registered': 13, 'actual': 11, 'age_breakdown': {'0-5': 6, '6-12': 8, '13-17': 9, '18+': 4}}",4.3
EVT0102,Teen Gaming Night,East Ham,2025-06-15,"{'registered': 36, 'actual': 45, 'age_breakdown': {'0-5': 4, '6-12': 1, '13-17': 7, '18+': 1}}",4.0
